 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   Tot [cm^-2]  Scale height [km]
  2360.00    2.108E+13    3.295E+12    5.121E+10    9.308E+13     1.600E+07
  2358.00    2.142E+13    3.349E+12    5.205E+10    9.420E+13     1.620E+07
  2356.00    2.160E+13    3.376E+12    5.248E+10    9.477E+13     1.544E+07
  2354.00    2.196E+13    3.432E+12    5.334E+10    9.592E+13     1.564E+07
  2352.00    2.214E+13    3.460E+12    5.378E+10    9.650E+13     1.584E+07
  2350.00    2.250E+13    3.517E+12    5.467E+10    9.767E+13     1.604E+07
  2348.00    2.269E+13    3.546E+12    5.512E+10    9.826E+13     1.533E+07
  2346.00    2.306E+13    3.604E+12    5.602E+10    9.945E+13     1.645E+07
  2344.00    2.325E+13    3.634E+12    5.649E+10    1.001E+14     1.572E+07
  2342.00    2.363E+13    3.694E+12    5.742E+10    1.013E+14     1.686E+07
  2340.00    2.383E+13    3.724E+12    5.789E+10    1.019E+14     1.706E+07
  2338.00    2.422E+13    3.786E+12    5.884E+10    1.031E+14     1.630E+07
  2336.00    2.442E+13    3.817E+12    5.933E+10    1.037E+14     1.747E+07
